"""Question ID"",""Subject"",""Question Text"",""Options"",""Correct Answer"",""Difficulty Level"",""Skill Type"",""Topic"",""Subtopic"""
"""Q001"",""Chemistry"",""What is the atomic number of oxygen?"",""A) 6;B) 8;C) 10;D) 12"",""B"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Atomic Structure"""
"""Q002"",""Chemistry"",""The molar mass of NaCl is:"",""A) 48.5 g/mol;B) 58.5 g/mol;C) 68.5 g/mol;D) 78.5 g/mol"",""B"",""Easy"",""Formula Application"",""Physical Chemistry"",""Mole Concept"""
"""Q003"",""Chemistry"",""What is the pH of a 0.001 M NaOH solution?"",""A) 9;B) 10;C) 11;D) 12"",""C"",""Medium"",""Formula Application"",""Physical Chemistry"",""Acids and Bases"""
"""Q004"",""Chemistry"",""The oxidation state of nitrogen in NH₃ is:"",""A) -3;B) -1;C) +1;D) +3"",""A"",""Medium"",""Analytical Skills"",""Inorganic Chemistry"",""Redox Reactions"""
"""Q005"",""Chemistry"",""Which gas is produced by the action of dilute HCl on Zn?"",""A) H₂;B) O₂;C) Cl₂;D) CO₂"",""A"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Chemical Reactions"""
"""Q006"",""Chemistry"",""The volume occupied by 2 moles of N₂ gas at STP is:"",""A) 22.4 L;B) 44.8 L;C) 11.2 L;D) 33.6 L"",""B"",""Medium"",""Formula Application"",""Physical Chemistry"",""Gaseous State"""
"""Q007"",""Chemistry"",""The hybridization of carbon in ethene (C₂H₄) is:"",""A) sp;B) sp²;C) sp³;D) dsp²"",""B"",""Medium"",""Conceptual Understanding"",""Organic Chemistry"",""Chemical Bonding"""
"""Q008"",""Chemistry"",""For a zero-order reaction, the half-life is proportional to:"",""A) Initial concentration;B) 1/Initial concentration;C) Rate constant;D) 1/Rate constant"",""A"",""Hard"",""Conceptual Understanding"",""Physical Chemistry"",""Chemical Kinetics"""
"""Q009"",""Chemistry"",""Which element has the lowest ionization energy in Group 1?"",""A) Li;B) Na;C) K;D) Cs"",""D"",""Easy"",""Conceptual Understanding"",""Inorganic Chemistry"",""Periodic Table"""
"""Q010"",""Chemistry"",""The equilibrium constant Kp for N₂ + 3H₂ ⇌ 2NH₃ at 500 K is 0.01 atm⁻². What is Kp for the reverse reaction?"",""A) 100 atm²;B) 10 atm²;C) 0.1 atm²;D) 0.01 atm²"",""A"",""Hard"",""Analytical Skills"",""Physical Chemistry"",""Chemical Equilibrium"""
"""Q011"",""Chemistry"",""What is the IUPAC name of CH₃CHO?"",""A) Methanal;B) Ethanal;C) Propanal;D) Butanal"",""B"",""Easy"",""Definition-Based Knowledge"",""Organic Chemistry"",""Nomenclature"""
"""Q012"",""Chemistry"",""The molality of a solution with 36 g of glucose (C₆H₁₂O₆) in 1 kg of water is:"",""A) 0.1 m;B) 0.2 m;C) 0.3 m;D) 0.4 m"",""B"",""Medium"",""Formula Application"",""Physical Chemistry"",""Solutions"""
"""Q013"",""Chemistry"",""Which gas is colorless and odorless?"",""A) Cl₂;B) H₂S;C) CO;D) N₂"",""D"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Properties of Elements"""
"""Q014"",""Chemistry"",""The enthalpy change for the combustion of methane (CH₄) is -890 kJ/mol. What is ΔH for 2CH₄ + 4O₂ → 2CO₂ + 4H₂O?"",""A) -890 kJ;B) -1780 kJ;C) +890 kJ;D) +1780 kJ"",""B"",""Medium"",""Formula Application"",""Physical Chemistry"",""Thermochemistry"""
"""Q015"",""Chemistry"",""What is the product of the reaction CH₃CH₂OH with H₂SO₄ at 140°C?"",""A) CH₃CHO;B) CH₂=CH₂;C) CH₃CH₂CH₃;D) CH₃OCH₃"",""B"",""Medium"",""Analytical Skills"",""Organic Chemistry"",""Dehydration Reactions"""
"""Q016"",""Chemistry"",""The number of valence electrons in sulfur (atomic number 16) is:"",""A) 4;B) 5;C) 6;D) 7"",""C"",""Easy"",""Conceptual Understanding"",""Inorganic Chemistry"",""Atomic Structure"""
"""Q017"",""Chemistry"",""The melting point of NaCl is approximately:"",""A) 100°C;B) 500°C;C) 801°C;D) 1200°C"",""C"",""Easy"",""Definition-Based Knowledge"",""Physical Chemistry"",""Solid State"""
"""Q018"",""Chemistry"",""The compressibility factor (Z) for an ideal gas is:"",""A) 0;B) 1;C) >1;D) <1"",""B"",""Easy"",""Conceptual Understanding"",""Physical Chemistry"",""Gaseous State"""
"""Q019"",""Chemistry"",""Which compound shows optical isomerism?"",""A) CH₃CH₂CH₃;B) CH₃CH(OH)CH₃;C) CH₂=CH₂;D) CH₃CH₂OH"",""B"",""Medium"",""Conceptual Understanding"",""Organic Chemistry"",""Isomerism"""
"""Q020"",""Chemistry"",""The standard enthalpy of formation of H₂O(l) is -286 kJ/mol. What is ΔH for H₂(g) + ½O₂(g) → H₂O(l)?"",""A) +286 kJ;B) -286 kJ;C) +572 kJ;D) -572 kJ"",""B"",""Medium"",""Formula Application"",""Physical Chemistry"",""Thermochemistry"""
"""Q021"",""Chemistry"",""The shape of the PCl₅ molecule is:"",""A) Tetrahedral;B) Trigonal bipyramidal;C) Octahedral;D) Square planar"",""B"",""Medium"",""Conceptual Understanding"",""Inorganic Chemistry"",""Chemical Bonding"""
"""Q022"",""Chemistry"",""The rate constant of a second-order reaction is 0.02 L/mol·s. If the initial concentration is 0.1 M, what is the half-life?"",""A) 25 s;B) 50 s;C) 75 s;D) 100 s"",""B"",""Hard"",""Formula Application"",""Physical Chemistry"",""Chemical Kinetics"""
"""Q023"",""Chemistry"",""Which of the following is a weak acid?"",""A) HCl;B) HNO₃;C) CH₃COOH;D) H₂SO₄"",""C"",""Easy"",""Conceptual Understanding"",""Physical Chemistry"",""Acids and Bases"""
"""Q024"",""Chemistry"",""The molecular formula of toluene is:"",""A) C₆H₆;B) C₇H₈;C) C₈H₁₀;D) C₆H₅CH₃"",""B"",""Easy"",""Definition-Based Knowledge"",""Organic Chemistry"",""Hydrocarbons"""
"""Q025"",""Chemistry"",""The oxidation state of Cl in ClO₄⁻ is:"",""A) +5;B) +6;C) +7;D) +8"",""C"",""Medium"",""Analytical Skills"",""Inorganic Chemistry"",""Redox Reactions"""
"""Q026"",""Chemistry"",""The Ksp of CaF₂ is 4.0 × 10⁻¹¹. What is its solubility in mol/L?"",""A) 1.0 × 10⁻⁴;B) 2.0 × 10⁻⁴;C) 3.0 × 10⁻⁴;D) 4.0 × 10⁻⁴"",""B"",""Hard"",""Formula Application"",""Physical Chemistry"",""Ionic Equilibrium"""
"""Q027"",""Chemistry"",""Which metal is extracted from hematite ore?"",""A) Aluminum;B) Iron;C) Copper;D) Zinc"",""B"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Metallurgy"""
"""Q028"",""Chemistry"",""The bond order of N₂ molecule is:"",""A) 1;B) 2;C) 3;D) 4"",""C"",""Medium"",""Formula Application"",""Inorganic Chemistry"",""Chemical Bonding"""
"""Q029"",""Chemistry"",""What is the major product of CH₃CH=CH₂ with HCl?"",""A) CH₃CH₂CH₂Cl;B) CH₃CHClCH₃;C) CH₂ClCH₂CH₃;D) CH₃CH₂Cl"",""B"",""Medium"",""Analytical Skills"",""Organic Chemistry"",""Addition Reactions"""
"""Q030"",""Chemistry"",""The critical temperature of CO₂ is:"",""A) 31.1°C;B) 44.4°C;C) 72.8°C;D) 100°C"",""A"",""Easy"",""Definition-Based Knowledge"",""Physical Chemistry"",""Gaseous State"""
"""Q031"",""Chemistry"",""Which element exists as a diatomic molecule?"",""A) Ne;B) O₂;C) Na;D) Mg"",""B"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Properties of Elements"""
"""Q032"",""Chemistry"",""The normality of a 0.2 M NaOH solution is:"",""A) 0.1 N;B) 0.2 N;C) 0.4 N;D) 0.8 N"",""B"",""Medium"",""Formula Application"",""Physical Chemistry"",""Solutions"""
"""Q033"",""Chemistry"",""The electronic configuration of Cu (atomic number 29) is:"",""A) [Ar] 4s² 3d⁹;B) [Ar] 4s¹ 3d¹⁰;C) [Ar] 4s² 3d⁷;D) [Ar] 3d¹⁰ 4s¹"",""B"",""Medium"",""Conceptual Understanding"",""Inorganic Chemistry"",""Atomic Structure"""
"""Q034"",""Chemistry"",""The reaction CaCO₃ → CaO + CO₂ is an example of:"",""A) Combination;B) Decomposition;C) Displacement;D) Neutralization"",""B"",""Easy"",""Conceptual Understanding"",""Inorganic Chemistry"",""Chemical Reactions"""
"""Q035"",""Chemistry"",""The conjugate acid of NH₃ is:"",""A) NH₂⁻;B) NH₄⁺;C) H₃O⁺;D) N₂H₄"",""B"",""Medium"",""Conceptual Understanding"",""Physical Chemistry"",""Acids and Bases"""
"""Q036"",""Chemistry"",""The standard enthalpy of formation of O₂(g) is:"",""A) 0 kJ/mol;B) -142 kJ/mol;C) +142 kJ/mol;D) -286 kJ/mol"",""A"",""Easy"",""Definition-Based Knowledge"",""Physical Chemistry"",""Thermochemistry"""
"""Q037"",""Chemistry"",""Which halogen is a solid at room temperature?"",""A) Fluorine;B) Chlorine;C) Bromine;D) Iodine"",""D"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Periodic Table"""
"""Q038"",""Chemistry"",""The rate law for a reaction is rate = k[A]². What is the overall order?"",""A) 1;B) 2;C) 3;D) 4"",""B"",""Medium"",""Formula Application"",""Physical Chemistry"",""Chemical Kinetics"""
"""Q039"",""Chemistry"",""The functional group in ketones is:"",""A) -OH;B) -CHO;C) -C=O;D) -COOH"",""C"",""Easy"",""Definition-Based Knowledge"",""Organic Chemistry"",""Functional Groups"""
"""Q040"",""Chemistry"",""The standard reduction potential of Cu²⁺/Cu is +0.34 V. What is the oxidation potential?"",""A) +0.34 V;B) -0.34 V;C) 0 V;D) +0.68 V"",""B"",""Medium"",""Formula Application"",""Physical Chemistry"",""Electrochemistry"""
"""Q041"",""Chemistry"",""Which of the following is a secondary alcohol?"",""A) CH₃OH;B) CH₃CH₂OH;C) CH₃CH(OH)CH₃;D) (CH₃)₃COH"",""C"",""Easy"",""Conceptual Understanding"",""Organic Chemistry"",""Alcohols"""
